idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.5379113715908257,16
1,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.09101459677424306,2019
2,connected_complete_graphs,EmbeddingControversy,0.9464054321970062,7
3,Facebook_Friends_cc,EmbeddingControversy,0.18253705493194894,1
4,complete_graph_600,EmbeddingControversy,0.09096809502678249,7
5,karate,EmbeddingControversy,0.6771780645383978,0
6,karate_easley_groundtruth,EmbeddingControversy,0.6745723757015014,0
7,polblogs_cc,EmbeddingControversy,0.33930481217713715,8
8,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.0838230908188311,1127
9,Facebook_Friends,EmbeddingControversy,0.06799202344575683,1
