idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.4216280407359595,16
1,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.0983779512814631,1932
2,connected_complete_graphs,EmbeddingControversy,0.9626735428880434,7
3,Facebook_Friends_cc,EmbeddingControversy,0.2846569884126343,1
4,complete_graph_600,EmbeddingControversy,0.03339164738528544,7
5,karate,EmbeddingControversy,0.6427197440175106,0
6,karate_easley_groundtruth,EmbeddingControversy,0.5221176411817303,0
7,polblogs_cc,EmbeddingControversy,0.32422512074057286,8
8,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.15355554440798658,1111
9,Facebook_Friends,EmbeddingControversy,0.15424226810641728,1
