idx,dataset,measure,result,duration
0,polblogs,EmbeddingControversy,0.5469896666340258,16
1,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.09157248939138429,1953
2,connected_complete_graphs,EmbeddingControversy,0.9510721698076087,7
3,Facebook_Friends_cc,EmbeddingControversy,0.17836465489585784,1
4,complete_graph_600,EmbeddingControversy,0.08064493731556865,7
5,karate,EmbeddingControversy,0.6102882460603559,0
6,karate_easley_groundtruth,EmbeddingControversy,0.7340562246664544,0
7,polblogs_cc,EmbeddingControversy,0.3370723450042685,8
8,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.15272781865145246,1126
9,Facebook_Friends,EmbeddingControversy,0.15870159330112443,1
