idx,dataset,measure,result,duration
0,polblogs,BCC,0.6424757528654472,2
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.26153040196578853,0
3,polblogs,EmbeddingControversy,0.024543349422389116,4
4,polblogs,PolarizationIndex,0.2970595392118756,62
5,polblogs,MBLB,0.33282216862735864,12
6,polblogs,Modularity,0.4256232042299787,0
7,polblogs,RWC,0.3461134121110402,113
8,Cruzeiro_Atletico_Twitter,BCC,0.7903421706352709,274
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737003,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,3
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.14376068301428413,221
12,Cruzeiro_Atletico_Twitter,PolarizationIndex,0.5364343564107235,155
13,Cruzeiro_Atletico_Twitter,MBLB,0.3751677028705645,1075
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
15,Cruzeiro_Atletico_Twitter,RWC,0.3714018059113059,1394
16,connected_complete_graphs,BCC,0.7461192966308463,18
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666669,6
19,connected_complete_graphs,EmbeddingControversy,0.9401147278357344,2
20,connected_complete_graphs,PolarizationIndex,0.8274584484561733,2330
21,connected_complete_graphs,MBLB,0.6542857142857144,4
22,connected_complete_graphs,Modularity,0.49983280387895,0
23,connected_complete_graphs,RWC,0.9895900357242002,52
24,Facebook_Friends_cc,BCC,0.7786036390046692,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.5037138748780008,0
28,Facebook_Friends_cc,PolarizationIndex,0.1431576227268537,17
29,Facebook_Friends_cc,MBLB,0.19830141255956935,6
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
31,Facebook_Friends_cc,RWC,0.18388075287135056,24
32,gun_control_Twitter_cc,BCC,0.8320911166406999,2886
33,gun_control_Twitter_cc,BoundaryConnectivity,0.24691011981753894,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,17
35,gun_control_Twitter_cc,EmbeddingControversy,0.6618919006429538,337
36,gun_control_Twitter_cc,PolarizationIndex,0.40895871990383037,1069
37,gun_control_Twitter_cc,MBLB,0.5844167273722439,889
38,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
39,gun_control_Twitter_cc,RWC,0.6548954446070415,1461
40,complete_graph_600,BCC,0.00032081178055154425,71
41,complete_graph_600,BoundaryConnectivity,0.0,0
42,complete_graph_600,ClusteringCoefficient,1.0,18
43,complete_graph_600,EmbeddingControversy,0.0017618931594843845,3
44,complete_graph_600,PolarizationIndex,0.00018961518518518519,13075
45,complete_graph_600,MBLB,0.01837824399708948,4
46,complete_graph_600,Modularity,-0.0008347152661844492,0
47,complete_graph_600,RWC,-0.05615835663384383,58
48,karate,BCC,0.370228454374263,0
49,karate,BoundaryConnectivity,0.18828914141414138,0
50,karate,ClusteringCoefficient,0.5683006535947712,0
51,karate,EmbeddingControversy,0.529606042417576,0
52,karate,PolarizationIndex,0.3844015991076467,0
53,karate,MBLB,0.7770308123249301,0
54,karate,Modularity,0.3717948717948718,0
55,karate,RWC,0.1697497040106889,2
56,karate_easley_groundtruth,BCC,0.3706682762018393,0
57,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414138,0
58,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
59,karate_easley_groundtruth,EmbeddingControversy,0.46675539348838446,0
60,karate_easley_groundtruth,PolarizationIndex,0.4053498288787418,0
61,karate_easley_groundtruth,MBLB,0.7770308123249301,0
62,karate_easley_groundtruth,Modularity,0.3582347140039447,0
63,karate_easley_groundtruth,RWC,0.1710547509683141,4
64,polblogs_cc,BCC,0.6367031983970727,2
65,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
66,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
67,polblogs_cc,EmbeddingControversy,0.639883701372983,3
