idx,dataset,measure,result,duration
0,polblogs,BCC,0.6461337992310965,2
1,polblogs,BoundaryConnectivity,0.17940389178883276,0
2,polblogs,ClusteringCoefficient,0.26153040196578853,0
3,polblogs,EmbeddingControversy,0.03932601674674041,5
4,polblogs,PolarizationIndex,0.29419816542861504,61
5,polblogs,MBLB,0.33282216862735864,12
6,polblogs,Modularity,0.4256232042299787,0
7,polblogs,RWC,0.34582037076507766,109
8,Cruzeiro_Atletico_Twitter,BCC,0.8130339541052349,314
9,Cruzeiro_Atletico_Twitter,BoundaryConnectivity,0.11049701824737003,0
10,Cruzeiro_Atletico_Twitter,ClusteringCoefficient,0.12588763594809085,5
11,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.13805820926759083,381
12,Cruzeiro_Atletico_Twitter,PolarizationIndex,0.5379712149584572,365
13,Cruzeiro_Atletico_Twitter,MBLB,0.3751677028705645,624
14,Cruzeiro_Atletico_Twitter,Modularity,0.4185099039849901,0
15,Cruzeiro_Atletico_Twitter,RWC,0.37092050333880255,1003
16,connected_complete_graphs,BCC,0.7157925308555712,19
17,connected_complete_graphs,BoundaryConnectivity,0.4965034965034966,0
18,connected_complete_graphs,ClusteringCoefficient,0.9996666666666669,5
19,connected_complete_graphs,EmbeddingControversy,0.9428184924328038,2
20,connected_complete_graphs,PolarizationIndex,0.8282306870823923,3102
21,connected_complete_graphs,MBLB,0.6542857142857144,4
22,connected_complete_graphs,Modularity,0.49983280387895,0
23,connected_complete_graphs,RWC,0.9885600775031101,50
24,Facebook_Friends_cc,BCC,0.7786933523485515,0
25,Facebook_Friends_cc,BoundaryConnectivity,0.14647118263453054,0
26,Facebook_Friends_cc,ClusteringCoefficient,0.5400625941056085,0
27,Facebook_Friends_cc,EmbeddingControversy,0.49927334655529665,0
28,Facebook_Friends_cc,PolarizationIndex,0.14784254426240595,16
29,Facebook_Friends_cc,MBLB,0.19830141255956935,6
30,Facebook_Friends_cc,Modularity,0.3436300130848828,0
31,Facebook_Friends_cc,RWC,0.17868949679120733,27
32,gun_control_Twitter_cc,BCC,0.8539835251125832,2172
33,gun_control_Twitter_cc,BoundaryConnectivity,0.24691011981753894,0
34,gun_control_Twitter_cc,ClusteringCoefficient,0.06725174265277624,21
35,gun_control_Twitter_cc,EmbeddingControversy,0.6619072305406104,547
36,gun_control_Twitter_cc,PolarizationIndex,0.40965280210143107,1431
37,gun_control_Twitter_cc,MBLB,0.5844167273722439,891
38,gun_control_Twitter_cc,Modularity,0.4774197673395837,1
39,gun_control_Twitter_cc,RWC,0.6545344697411528,1315
40,complete_graph_600,BCC,0.0003200441030237755,70
41,complete_graph_600,BoundaryConnectivity,0.0,0
42,complete_graph_600,ClusteringCoefficient,1.0,17
43,complete_graph_600,EmbeddingControversy,0.006949694299132614,3
44,complete_graph_600,PolarizationIndex,0.0001839564814814815,12137
45,complete_graph_600,MBLB,0.01837824399708948,4
46,complete_graph_600,Modularity,-0.0008347152661844492,0
47,complete_graph_600,RWC,-0.05660590430327089,56
48,karate,BCC,0.36775255342130597,0
49,karate,BoundaryConnectivity,0.18828914141414138,0
50,karate,ClusteringCoefficient,0.5683006535947712,0
51,karate,EmbeddingControversy,0.5651327782027736,0
52,karate,PolarizationIndex,0.34620465338601164,0
53,karate,MBLB,0.7770308123249301,0
54,karate,Modularity,0.3717948717948718,0
55,karate,RWC,0.16740297292101636,3
56,karate_easley_groundtruth,BCC,0.3688121577725525,0
57,karate_easley_groundtruth,BoundaryConnectivity,0.18828914141414138,0
58,karate_easley_groundtruth,ClusteringCoefficient,0.5977124183006536,0
59,karate_easley_groundtruth,EmbeddingControversy,0.16138114448532115,0
60,karate_easley_groundtruth,PolarizationIndex,0.365630028352382,0
61,karate_easley_groundtruth,MBLB,0.7770308123249301,0
62,karate_easley_groundtruth,Modularity,0.3582347140039447,0
63,karate_easley_groundtruth,RWC,0.16935304544501548,3
64,polblogs_cc,BCC,0.6421607092041255,2
65,polblogs_cc,BoundaryConnectivity,0.17016949158578218,0
66,polblogs_cc,ClusteringCoefficient,0.33958178858045723,0
67,polblogs_cc,EmbeddingControversy,0.6332085200766101,3
68,polblogs_cc,PolarizationIndex,0.1291452749064573,59
69,polblogs_cc,MBLB,0.4551220865511118,11
70,polblogs_cc,Modularity,0.422376344239583,0
71,polblogs_cc,RWC,0.30830672794492087,78
72,Cruzeiro_Atletico_Twitter_cc,BCC,0.8744477389903579,231
73,Cruzeiro_Atletico_Twitter_cc,BoundaryConnectivity,0.10680046878029974,0
74,Cruzeiro_Atletico_Twitter_cc,ClusteringCoefficient,0.10854715760042166,1
75,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.31258441214826427,131
76,Cruzeiro_Atletico_Twitter_cc,PolarizationIndex,0.3517108355396087,181
77,Cruzeiro_Atletico_Twitter_cc,MBLB,0.4046738826872315,355
78,Cruzeiro_Atletico_Twitter_cc,Modularity,0.4104682362391443,0
79,Cruzeiro_Atletico_Twitter_cc,RWC,0.3246027294525119,1301
80,gun_control_Twitter,BCC,0.8384716368507251,2261
81,gun_control_Twitter,BoundaryConnectivity,0.24926353632426287,0
82,gun_control_Twitter,ClusteringCoefficient,0.06658574142925047,15
83,gun_control_Twitter,EmbeddingControversy,0.6492485663371783,332
84,gun_control_Twitter,PolarizationIndex,0.4225025250363407,1299
85,gun_control_Twitter,MBLB,0.5730405989958149,931
86,gun_control_Twitter,Modularity,0.47766693281162204,1
87,gun_control_Twitter,RWC,0.65875123243887,1340
88,Facebook_Friends,BCC,0.7632347026321568,0
89,Facebook_Friends,BoundaryConnectivity,0.10685660114030922,0
90,Facebook_Friends,ClusteringCoefficient,0.5510357852149431,0
91,Facebook_Friends,EmbeddingControversy,0.46880172945389476,0
92,Facebook_Friends,PolarizationIndex,0.22433385675124787,17
93,Facebook_Friends,MBLB,0.207987012987013,7
94,Facebook_Friends,Modularity,0.3327028770560748,0
95,Facebook_Friends,RWC,0.2125319461219953,26
