idx,dataset,measure,result,duration
0,complete_graph_600,EmbeddingControversy,0.061776383649796096,7
1,connected_complete_graphs,EmbeddingControversy,0.9618834549915052,4
2,Cruzeiro_Atletico_Twitter,EmbeddingControversy,0.09516828658209264,2444
3,Cruzeiro_Atletico_Twitter_cc,EmbeddingControversy,0.1207033539856156,1402
4,Facebook_Friends,EmbeddingControversy,0.15667408035794272,0
5,Facebook_Friends_cc,EmbeddingControversy,0.18703922540705786,0
6,karate,EmbeddingControversy,0.7591657404165846,0
7,karate_easley_groundtruth,EmbeddingControversy,0.6071695682049572,0
8,polblogs,EmbeddingControversy,0.5403887812426762,11
9,polblogs_cc,EmbeddingControversy,0.3506550806308011,7
